index	author	title	pages	year	booktitle	source	ee	crossref	url	editor	publisher	series	volume	isbn	cdrom	cite	<cyfunction Entity at 0x10ed74c00>	note	journal	number	abstract	keywords	citation_count	author_processed	keywords_processed	citation_count_processed	abstract_processed	title_processed
0	['Daniel A. Keim', 'Gennady L. Andrienko', 'Jean-Daniel Fekete', 'Carsten G', 'J', 'Guy Melan']	Visual Analytics: Definition, Process, and Challenges.	154-175	2008	Information Visualization	Information Visualization	['https://doi.org/10.1007/978-3-540-70956-5_7']	series/lncs/4950	['db/series/lncs/lncs4950.html#KeimAFGKM08']												We are living in a world which faces a rapidly increasing amount of data to be dealt with on a daily basis. In the last decade, the steady improvement of data storage devices and means to create and collect data along the way influenced our way of dealing with information: Most of the time, data is stored without filtering and refinement for later use. Virtually every branch of industry or business, and any political or personal activity nowadays generate vast amounts of data. Making matters worse, the possibilities to collect and store data increase at a faster rate than our ability to use it for making decisions. However, in most applications, raw data has no value in itself; instead we want to extract the information contained in it.	['Information Visualization', 'Knowledge Discovery Process', 'Interaction Technique', 'Visual Analytic', 'Analysis Task']	303	['Daniel A. Keim', 'Gennady L. Andrienko', 'Jean-daniel Fekete', 'Carsten G', 'J', 'Guy Melan']	['Analysis Task', 'Information Visualization', 'Interaction Technique', 'Knowledge Discovery Process', 'Visual Analytic']	303.0	We are living in a world which faces a rapidly increasing amount of data to be dealt with on a daily basis. In the last decade, the steady improvement of data storage devices and means to create and collect data along the way influenced our way of dealing with information: Most of the time, data is stored without filtering and refinement for later use. Virtually every branch of industry or business, and any political or personal activity nowadays generate vast amounts of data. Making matters worse, the possibilities to collect and store data increase at a faster rate than our ability to use it for making decisions. However, in most applications, raw data has no value in itself; instead we want to extract the information contained in it.	Visual Analytics: Definition, Process, and Challenges.
1	['Jeffrey Heer', 'Frank van Ham', 'Sheelagh Carpendale', 'Chris Weaver', 'Petra Isenberg']	Creation and Collaboration: Engaging New Audiences for Information Visualization.	92-133	2008	Information Visualization	Information Visualization	['https://doi.org/10.1007/978-3-540-70956-5_5']	series/lncs/4950	['db/series/lncs/lncs4950.html#HeerHCWI08']												In recent years we have seen information visualization technology move from an advanced research topic to mainstream adoption in both commercial and personal use. This move is in part due to many businesses recognizing the need for more effective tools for extracting knowledge from the data warehouses they are gathering. Increased mainstream interest is also a result of more exposure to advanced interfaces in contemporary online media. The adoption of information visualization technologies by lay users – as opposed to the traditional information visualization audience of scientists and analysts – has important implications for visualization research, design and development. Since we cannot expect each of these lay users to design their own visualizations, we have to provide them tools that make it easy to create and deploy visualizations of their datasets.	['Information Visualization', 'Visualization System', 'IEEE Computer Society', 'Interactive Visualization', 'Novice User']	39	['Jeffrey Heer', 'Frank Van Ham', 'Sheelagh Carpendale', 'Chris Weaver', 'Petra Isenberg']	['Information Visualization', 'Ieee Computer Society', 'Novice User', 'Visualization System', 'Interactive Visualization']	39.0	In recent years we have seen information visualization technology move from an advanced research topic to mainstream adoption in both commercial and personal use. This move is in part due to many businesses recognizing the need for more effective tools for extracting knowledge from the data warehouses they are gathering. Increased mainstream interest is also a result of more exposure to advanced interfaces in contemporary online media. The adoption of information visualization technologies by lay users – as opposed to the traditional information visualization audience of scientists and analysts – has important implications for visualization research, design and development. Since we cannot expect each of these lay users to design their own visualizations, we have to provide them tools that make it easy to create and deploy visualizations of their datasets.	Creation and Collaboration: Engaging New Audiences for Information Visualization.
2	['Helen C. Purchase', 'Natalia V. Andrienko', 'T. J. Jankun-Kelly', 'Matthew O. Ward']	Theoretical Foundations of Information Visualization.	46-64	2008	Information Visualization	Information Visualization	['https://doi.org/10.1007/978-3-540-70956-5_3', 'https://www.wikidata.org/entity/Q58203993']	series/lncs/4950	['db/series/lncs/lncs4950.html#PurchaseAJW08']												The field of Information Visualization, being related to many other diverse disciplines (for example, engineering, graphics, statistical modeling) suffers from not being based on a clear underlying theory. The absence of a framework for Information Visualization makes the significance of achievements in this area difficult to describe, validate and defend. Drawing on theories within associated disciplines, three different approaches to theoretical foundations of Information Visualization are presented here: data-centric predictive theory, information theory, and scientific modeling. Definitions from linguistic theory are used to provide an over-arching framework for these three approaches.	['Information Visualization', 'Composite Pattern', 'IEEE Symposium', 'Formal Foundation', 'IEEE Computer Society']	31	['Helen C. Purchase', 'Natalia V. Andrienko', 'T. J. Jankun-kelly', 'Matthew O. Ward']	['Information Visualization', 'Ieee Computer Society', 'Ieee Symposium', 'Composite Pattern', 'Formal Foundation']	31.0	The field of Information Visualization, being related to many other diverse disciplines (for example, engineering, graphics, statistical modeling) suffers from not being based on a clear underlying theory. The absence of a framework for Information Visualization makes the significance of achievements in this area difficult to describe, validate and defend. Drawing on theories within associated disciplines, three different approaches to theoretical foundations of Information Visualization are presented here: data-centric predictive theory, information theory, and scientific modeling. Definitions from linguistic theory are used to provide an over-arching framework for these three approaches.	Theoretical Foundations of Information Visualization.
3	['Jean-Daniel Fekete', 'Jarke J. van Wijk', 'John T. Stasko', 'Chris North']	The Value of Information Visualization.	Jan-18	2008	Information Visualization	Information Visualization	['https://doi.org/10.1007/978-3-540-70956-5_1', 'https://www.wikidata.org/entity/Q56679313']	series/lncs/4950	['db/series/lncs/lncs4950.html#FeketeWSN08']												Researchers and users of Information Visualization are convinced that it has value. This value can easily be communicated to others in a face-to-face setting, such that this value is experienced in practice. To convince broader audiences, and also, to understand the intrinsic qualities of visualization is more difficult, however. In this paper we consider information visualization from different points of view, and gather arguments to explain the value of our field.	['Information Visualization', 'Perceptual Chunk', 'Perceptual Inference', 'Preattentive Processing', 'Exploratory Data Analysis']	61	['Jean-daniel Fekete', 'Jarke J. Van Wijk', 'John T. Stasko', 'Chris North']	['Exploratory Data Analysis', 'Information Visualization', 'Perceptual Inference', 'Preattentive Processing', 'Perceptual Chunk']	61.0	Researchers and users of Information Visualization are convinced that it has value. This value can easily be communicated to others in a face-to-face setting, such that this value is experienced in practice. To convince broader audiences, and also, to understand the intrinsic qualities of visualization is more difficult, however. In this paper we consider information visualization from different points of view, and gather arguments to explain the value of our field.	The Value of Information Visualization.
5	['Tamara Munzner']	Process and Pitfalls in Writing Information Visualization Research Papers.	134-153	2008	Information Visualization	Information Visualization	['https://doi.org/10.1007/978-3-540-70956-5_6']	series/lncs/4950	['db/series/lncs/lncs4950.html#Munzner08']												The goal of this chapter is to help authors recognize and avoid a set of pitfalls that recur in many rejected information visualization papers, using a chronological model of the research process. Selecting a target paper type in the initial stage can avert an inappropriate choice of validation methods. Pitfalls involving the design of a visual encoding may occur during the middle stages of a project. In a later stage when the bulk of the research is finished and the paper writeup begins, the possible pitfalls are strategic choices for the content and structure of the paper as a whole, tactical problems localized to specific sections, and unconvincing ways to present the results. Final-stage pitfalls of writing style can be checked after a full paper draft exists, and the last set of problems pertain to submission.	['Target User', 'Information Visualization', 'IEEE Symposium', 'Paper Type', 'Research Contribution']	31	['Tamara Munzner']	['Information Visualization', 'Target User', 'Ieee Symposium', 'Paper Type', 'Research Contribution']	31.0	The goal of this chapter is to help authors recognize and avoid a set of pitfalls that recur in many rejected information visualization papers, using a chronological model of the research process. Selecting a target paper type in the initial stage can avert an inappropriate choice of validation methods. Pitfalls involving the design of a visual encoding may occur during the middle stages of a project. In a later stage when the bulk of the research is finished and the paper writeup begins, the possible pitfalls are strategic choices for the content and structure of the paper as a whole, tactical problems localized to specific sections, and unconvincing ways to present the results. Final-stage pitfalls of writing style can be checked after a full paper draft exists, and the last set of problems pertain to submission.	Process and Pitfalls in Writing Information Visualization Research Papers.
6	['Sheelagh Carpendale']	Evaluating Information Visualizations.	19-45	2008	Information Visualization	Information Visualization	['https://doi.org/10.1007/978-3-540-70956-5_2']	series/lncs/4950	['db/series/lncs/lncs4950.html#Carpendale08']												Information visualization research is becoming more established, and as a result, it is becoming increasingly important that research in this field is validated. With the general increase in information visualization research there has also been an increase, albeit disproportionately small, in the amount of empirical work directly focused on information visualization. The purpose of this chapter is to increase awareness of empirical research in general, of its relationship to information visualization in particular; to emphasize its importance; and to encourage thoughtful application of a greater variety of evaluative research methodologies in information visualization.	['Information Visualization', 'Empirical Research', 'Qualitative Method', 'Sage Publication', 'Visualization Technique']	127	['Sheelagh Carpendale']	['Information Visualization', 'Empirical Research', 'Visualization Technique', 'Qualitative Method', 'Sage Publication']	127.0	Information visualization research is becoming more established, and as a result, it is becoming increasingly important that research in this field is validated. With the general increase in information visualization research there has also been an increase, albeit disproportionately small, in the amount of empirical work directly focused on information visualization. The purpose of this chapter is to increase awareness of empirical research in general, of its relationship to information visualization in particular; to emphasize its importance; and to encourage thoughtful application of a greater variety of evaluative research methodologies in information visualization.	Evaluating Information Visualizations.
7	['Andreas Kerren', 'John T. Stasko', 'Jason Dykes']	Teaching Information Visualization.	65-91	2008	Information Visualization	Information Visualization	['https://doi.org/10.1007/978-3-540-70956-5_4']	series/lncs/4950	['db/series/lncs/lncs4950.html#KerrenSD08']												Teaching InfoVis is a challenge because it is a new and growing field. This paper describes the results of a teaching survey based on the information given by the attendees of Dagstuhl Seminar 07221. It covers several aspects of offered InfoVis courses that range from different kinds of study materials to practical exercises. We have reproduced the discussion during the seminar and added our own experiences. We hope that this paper can serve as an interesting and helpful source for current and future InfoVis teachers.	['Georgia Tech', 'Information Visualization', 'Interaction Technique', 'Graph Drawing', 'Visualization Technique']	12	['Andreas Kerren', 'John T. Stasko', 'Jason Dykes']	['Information Visualization', 'Graph Drawing', 'Interaction Technique', 'Visualization Technique', 'Georgia Tech']	12.0	Teaching InfoVis is a challenge because it is a new and growing field. This paper describes the results of a teaching survey based on the information given by the attendees of Dagstuhl Seminar 07221. It covers several aspects of offered InfoVis courses that range from different kinds of study materials to practical exercises. We have reproduced the discussion during the seminar and added our own experiences. We hope that this paper can serve as an interesting and helpful source for current and future InfoVis teachers.	Teaching Information Visualization.
7362	['Fraser Anderson', 'Tovi Grossman', 'Justin Matejka', 'George W. Fitzmaurice']	YouMove: enhancing movement training with an augmented reality mirror.	311-320	2013	UIST	UIST	['https://doi.org/10.1145/2501988.2502045']	conf/uist/2013	['db/conf/uist/uist2013.html#AndersonGMF13']												YouMove is a novel system that allows users to record and learn physical movement sequences. The recording system is designed to be simple, allowing anyone to create and share training content. The training system uses recorded data to train the user using a large-scale augmented reality mirror. The system trains the user through a series of stages that gradually reduce the user's reliance on guidance and feedback. This paper discusses the design and implementation of YouMove and its interactive mirror. We also present a user study in which YouMove was shown to improve learning and short-term retention by a factor of 2 compared to a traditional video demonstration.	['Graphical user interfaces', 'Human computer interaction (HCI)', 'Human-centered computing', 'Interaction paradigms']	123	['Fraser Anderson', 'Tovi Grossman', 'Justin Matejka', 'George W. Fitzmaurice']	['Graphical User Interfaces', 'Human Computer Interaction', 'Interaction Paradigms', 'Human-centered Computing']	123.0	YouMove is a novel system that allows users to record and learn physical movement sequences. The recording system is designed to be simple, allowing anyone to create and share training content. The training system uses recorded data to train the user using a large-scale augmented reality mirror. The system trains the user through a series of stages that gradually reduce the user's reliance on guidance and feedback. This paper discusses the design and implementation of YouMove and its interactive mirror. We also present a user study in which YouMove was shown to improve learning and short-term retention by a factor of 2 compared to a traditional video demonstration.	YouMove: enhancing movement training with an augmented reality mirror.
7363	['Masa Ogata']	Magneto-Haptics: Embedding Magnetic Force Feedback for Physical Interactions.	737-743	2018	UIST	UIST	['https://doi.org/10.1145/3242587.3242615']	conf/uist/2018	['db/conf/uist/uist2018.html#Ogata18']												We present magneto-haptics, a design approach of haptic sensations powered by the forces present among permanent magnets during active touch. Magnetic force has not been efficiently explored in haptic design because it is not intuitive and there is a lack of methods to associate or visualize magnetic force with haptic sensations, especially for complex magnetic patterns. To represent the haptic sensations of magnetic force intuitively, magneto-haptics formularizes haptic potential from the distribution of magnetic force along the path of motion. It provides a rapid way to compute the relationship between the magnetic phenomena and the haptic mechanism. Thus, we can convert a magnetic force distribution into a haptic sensation model, making the design of magnet-embedded haptic sensations more efficient. We demonstrate three applications of magneto-haptics through interactive interfaces and devices. We further verify our theory by evaluating some magneto-haptic designs through experiments.	['Virtual reality', 'Interaction devices', 'Haptic devices', 'Human computer interaction (HCI)', 'Human-centered computing', 'Interaction paradigms']	10	['Masa Ogata']	['Virtual Reality', 'Human-centered Computing', 'Interaction Devices', 'Human Computer Interaction', 'Interaction Paradigms', 'Haptic Devices']	10.0	We present magneto-haptics, a design approach of haptic sensations powered by the forces present among permanent magnets during active touch. Magnetic force has not been efficiently explored in haptic design because it is not intuitive and there is a lack of methods to associate or visualize magnetic force with haptic sensations, especially for complex magnetic patterns. To represent the haptic sensations of magnetic force intuitively, magneto-haptics formularizes haptic potential from the distribution of magnetic force along the path of motion. It provides a rapid way to compute the relationship between the magnetic phenomena and the haptic mechanism. Thus, we can convert a magnetic force distribution into a haptic sensation model, making the design of magnet-embedded haptic sensations more efficient. We demonstrate three applications of magneto-haptics through interactive interfaces and devices. We further verify our theory by evaluating some magneto-haptic designs through experiments.	Magneto-Haptics: Embedding Magnetic Force Feedback for Physical Interactions.
7364	['Ayaka Ishii', 'Itiro Siio']	BubBowl: Display Vessel Using Electrolysis Bubbles in Drinkable Beverages.	619-623	2019	UIST	UIST	['https://doi.org/10.1145/3332165.3347923']	conf/uist/2019	['db/conf/uist/uist2019.html#IshiiS19']												Research was conducted regarding a display that presents digital information using bubbles. Conventional bubble displays require moving parts, because it is common to use air taken from outside of the water to represent pixels. However, it is difficult to increase the number of pixels at a low cost. We propose a liquid-surface display using pixels of bubble clusters generated from electrolysis, and present the cup-type device BubBowl, which generates a 10×10 pixel dot matrix pattern on the surface of a beverage. Our technique requires neither a gas supply from the outside nor moving parts. Using the proposed electrolysis method, a higher-resolution display can easily be realized using a PCB with a higher density of matrix electrodes.Moreover, the method is simple and practical, and can be utilized in daily life, such as for presenting information using bubbles on the surface of coffee in a cup.	['Human computer interaction (HCI)', 'Human-centered computing']	4	['Ayaka Ishii', 'Itiro Siio']	['Human Computer Interaction', 'Human-centered Computing']	4.0	Research was conducted regarding a display that presents digital information using bubbles. Conventional bubble displays require moving parts, because it is common to use air taken from outside of the water to represent pixels. However, it is difficult to increase the number of pixels at a low cost. We propose a liquid-surface display using pixels of bubble clusters generated from electrolysis, and present the cup-type device BubBowl, which generates a 10×10 pixel dot matrix pattern on the surface of a beverage. Our technique requires neither a gas supply from the outside nor moving parts. Using the proposed electrolysis method, a higher-resolution display can easily be realized using a PCB with a higher density of matrix electrodes.Moreover, the method is simple and practical, and can be utilized in daily life, such as for presenting information using bubbles on the surface of coffee in a cup.	BubBowl: Display Vessel Using Electrolysis Bubbles in Drinkable Beverages.
